"survived","embarked","sex","sibsp","parch","fare"
1,"S","female",1,1,22.025
0,"S","female",1,1,12.1833
0,"S","male",1,1,7.8542
0,"S","female",0,2,12.1833
0,"C","male",0,0,7.8958
1,"C","male",0,0,7.2292
0,"C","male",0,0,7.225
0,"S","female",0,0,9.5875
0,"S","male",0,0,7.8958
1,"S","male",0,0,56.4958
0,"S","male",0,0,56.4958
1,"S","female",0,0,7.25
0,"Q","male",0,0,7.75
1,"S","male",0,0,56.4958
0,"S","male",0,0,9.4833
0,"S","male",0,0,7.775
0,"S","male",0,0,7.775
1,"C","male",0,0,7.225
0,"S","male",3,1,25.4667
0,"S","female",3,1,25.4667
0,"S","female",3,1,25.4667
0,"S","female",3,1,25.4667
0,"S","female",0,4,25.4667
0,"S","male",0,0,7.925
0,"C","male",0,0,6.4375
0,"Q","female",1,0,15.5
0,"Q","male",1,0,15.5
0,"S","male",0,0,0
0,"S","male",0,0,24.15
0,"S","male",0,0,9.5
0,"S","female",0,0,7.775
0,"S","female",0,0,7.75
0,"S","male",1,0,15.55
0,"S","female",1,0,15.55
1,"S","male",1,0,7.925
0,"Q","male",0,0,7.8792
0,"S","male",0,0,56.4958
0,"S","male",0,0,7.55
0,"S","male",1,0,16.1
0,"S","female",1,0,16.1
0,"S","male",0,0,7.8792
0,"S","male",0,0,7.25
1,"S","male",0,0,8.6625
0,"S","male",0,0,7.0542
1,"S","female",0,0,7.8542
1,"S","male",0,0,7.5792
0,"S","male",0,0,7.8958
0,"S","male",0,0,7.55
1,"Q","female",0,0,7.75
1,"S","male",0,0,7.1417
0,"S","male",0,0,7.125
0,"Q","female",0,0,7.8792
0,"Q","male",0,0,7.75
0,"S","male",0,0,8.05
0,"S","male",0,0,7.925
1,"C","male",0,0,7.2292
0,"Q","female",0,0,7.75
1,"Q","female",0,0,7.7375
0,"C","male",0,0,7.2292
0,"C","male",0,0,7.8958
0,"S","male",0,0,7.8958
1,"C","female",0,0,7.225
0,"C","male",0,0,7.8958
1,"Q","female",0,0,7.75
1,"Q","male",0,0,7.75
1,"Q","female",2,0,23.25
1,"Q","female",2,0,23.25
1,"Q","male",2,0,23.25
1,"Q","female",0,0,7.7875
0,"Q","male",0,0,15.5
1,"Q","female",0,0,7.8792
1,"Q","female",0,0,8.0292
0,"Q","female",0,0,7.75
0,"Q","male",0,0,7.75
0,"S","male",1,0,16.1
0,"S","female",1,0,16.1
0,"Q","female",0,0,7.75
0,"S","female",0,0,8.05
0,"S","female",0,0,8.05
0,"S","male",0,0,8.05
0,"Q","male",0,0,7.75
1,"S","male",0,0,7.775
0,"S","male",0,0,8.05
0,"S","male",0,0,7.8958
0,"S","male",0,0,7.8958
0,"S","male",0,0,7.8958
0,"S","male",0,0,7.8958
1,"Q","female",0,0,7.8792
0,"S","male",0,0,7.65
1,"S","male",0,1,12.475
1,"S","female",0,1,12.475
0,"S","male",0,0,8.05
1,"Q","female",1,0,24.15
0,"Q","male",1,0,24.15
0,"Q","male",0,0,8.4583
0,"S","male",0,0,8.05
0,"Q","male",0,0,7.75
1,"S","male",0,0,7.775
1,"C","male",1,1,15.2458
1,"C","male",1,1,15.2458
1,"C","female",0,2,15.2458
1,"C","female",0,0,7.2292
0,"S","male",0,0,8.05
1,"Q","female",0,0,7.7333
1,"Q","female",0,0,7.75
0,"S","male",0,0,8.05
1,"Q","female",1,0,15.5
1,"Q","female",1,0,15.5
1,"Q","female",0,0,15.5
0,"S","male",0,0,7.75
0,"S","male",0,0,7.8958
1,"C","female",0,0,7.225
1,"C","female",0,2,15.7417
1,"C","male",1,1,15.7417
1,"C","female",1,1,15.7417
0,"S","male",0,0,8.05
0,"S","male",0,0,7.8958
0,"C","male",0,0,7.2292
0,"Q","female",0,0,7.75
0,"S","male",0,0,7.8958
1,"C","male",1,0,11.2417
1,"C","female",1,0,11.2417
0,"S","female",0,0,7.925
0,"S","male",0,0,8.05
1,"S","female",0,0,7.775
1,"S","female",0,0,7.8542
0,"S","male",0,0,7.8542
0,"S","male",0,0,7.125
1,"S","male",0,0,7.925
0,"S","male",0,0,7.8
0,"C","male",0,0,7.2292
1,"S","female",0,0,7.75
0,"S","male",0,0,6.2375
0,"Q","male",1,0,15.5
0,"Q","male",0,0,7.8292
1,"Q","female",1,0,15.5
0,"Q","male",0,0,7.7333
0,"Q","male",0,0,7.75
0,"Q","male",0,0,7.75
0,"S","male",0,0,9.225
0,"Q","female",0,0,7.75
1,"Q","female",0,0,7.75
1,"Q","female",0,0,7.8792
1,"S","female",0,0,7.775
1,"Q","male",0,0,7.75
1,"Q","female",0,0,7.8292
1,"S","male",0,1,3.1708
0,"S","male",0,0,22.525
0,"S","male",0,1,8.4042
0,"S","male",0,0,7.3125
0,"S","female",0,0,7.8542
0,"S","male",0,0,7.8542
1,"S","male",0,0,7.775
0,"S","male",0,0,9.225
0,"S","female",0,0,8.6625
0,"S","female",0,0,8.6625
0,"S","male",0,0,8.6625
0,"S","male",0,0,9.2167
1,"S","female",0,0,8.6833
0,"Q","female",0,0,7.6292
0,"S","male",3,1,21.075
0,"S","male",3,1,21.075
0,"S","female",3,1,21.075
0,"S","female",3,1,21.075
0,"S","female",0,4,21.075
0,"S","male",4,1,39.6875
0,"S","male",4,1,39.6875
0,"S","male",4,1,39.6875
0,"S","male",4,1,39.6875
0,"S","male",4,1,39.6875
0,"S","female",0,5,39.6875
0,"S","male",0,0,8.6625
0,"S","male",0,0,14.5
0,"C","male",0,0,8.7125
0,"S","male",0,0,7.8958
0,"S","male",1,1,13.775
0,"S","female",1,1,13.775
0,"S","female",0,2,13.775
0,"S","male",0,0,7
0,"S","male",0,0,7.775
0,"S","male",0,0,8.05
0,"S","male",0,0,7.925
0,"S","male",0,0,7.925
0,"S","male",0,0,7.25
1,"S","male",1,0,7.775
1,"C","male",1,1,22.3583
1,"C","female",1,1,22.3583
1,"C","female",0,2,22.3583
0,"Q","female",0,0,8.1375
0,"S","male",0,0,8.05
0,"S","female",0,0,7.8958
0,"S","male",0,0,7.8958
0,"S","male",0,0,7.8958
0,"S","male",1,0,7.775
0,"S","female",0,0,7.775
1,"S","male",0,0,8.05
0,"S","male",0,0,7.8958
0,"S","male",0,0,8.6625
0,"S","male",0,0,8.6625
0,"S","male",0,0,7.8958
0,"S","female",0,0,8.1125
0,"C","male",0,0,7.2292
0,"S","male",0,0,7.25
0,"S","male",0,0,7.8958
0,"S","male",0,0,8.05
0,"Q","male",4,1,29.125
0,"Q","male",4,1,29.125
0,"Q","male",4,1,29.125
0,"Q","male",4,1,29.125
0,"Q","male",4,1,29.125
0,"Q","female",0,5,29.125
0,"S","female",0,0,39.6875
0,"S","male",0,0,7.125
1,"Q","female",0,0,7.7208
0,"S","male",0,0,14.5
0,"S","female",0,0,14.5
0,"S","male",1,0,14.5
0,"S","female",1,0,14.5
0,"S","male",0,0,8.05
0,"S","male",0,0,7.775
0,"S","female",1,1,20.2125
0,"S","male",1,1,20.2125
0,"S","female",0,2,20.2125
1,"S","female",0,0,8.05
0,"S","male",0,0,8.05
0,"S","male",0,0,8.05
1,"Q","male",0,0,7.75
0,"Q","male",0,0,24.15
0,"C","male",0,0,7.2292
0,"C","male",0,0,7.225
0,"C","male",0,0,7.225
0,"Q","male",0,0,7.7292
0,"S","male",0,0,7.575
0,"S","male",0,0,7.25
0,"S","male",8,2,69.55
0,"S","male",8,2,69.55
0,"S","female",8,2,69.55
0,"S","female",8,2,69.55
0,"S","female",8,2,69.55
0,"S","female",8,2,69.55
0,"S","male",8,2,69.55
0,"S","male",8,2,69.55
0,"S","male",8,2,69.55
0,"S","male",1,9,69.55
0,"S","female",1,9,69.55
0,"S","male",0,0,9.325
1,"S","female",0,0,7.65
0,"S","male",0,0,7.925
0,"C","male",2,0,21.6792
0,"C","male",2,0,21.6792
0,"C","male",2,0,21.6792
1,"S","female",1,1,16.7
1,"S","female",0,2,16.7
1,"S","female",1,1,16.7
1,"S","male",0,0,9.5
0,"S","male",0,0,8.05
0,"S","male",0,0,8.05
0,"Q","male",0,0,7.725
0,"S","male",0,0,7.8958
0,"Q","male",0,0,7.75
1,"S","male",0,0,9.5
0,"S","male",0,0,15.1
1,"Q","female",0,0,7.7792
0,"S","male",0,0,8.05
0,"S","male",0,0,8.05
0,"C","male",0,0,7.2292
0,"S","male",0,0,8.05
0,"S","male",0,0,7.8958
0,"S","male",0,0,7.925
1,"S","female",0,0,7.4958
0,"S","male",3,2,27.9
0,"S","male",3,2,27.9
0,"S","female",3,2,27.9
0,"S","female",3,2,27.9
0,"S","male",1,4,27.9
0,"S","female",1,4,27.9
0,"S","male",0,0,7.8958
0,"S","male",0,0,8.05
0,"S","male",0,0,8.6625
0,"Q","male",0,0,7.75
1,"Q","female",0,0,7.7333
0,"S","male",0,0,7.65
0,"S","male",0,0,8.05
0,"S","male",0,0,8.05
0,"S","male",0,0,8.05
0,"S","male",0,0,7.8958
0,"C","male",0,0,8.6625
1,"S","female",0,0,7.55
0,"S","male",0,0,8.05
0,"S","male",0,0,NA
0,"S","male",0,0,7.8958
0,"S","female",0,0,9.8375
1,"S","male",0,0,7.925
0,"S","male",0,0,8.6625
0,"S","female",0,1,10.4625
0,"S","female",1,1,10.4625
1,"S","male",0,0,8.05
1,"S","male",0,0,7.925
0,"S","male",0,0,7.05
0,"S","male",0,0,7.775
1,"S","male",0,0,9.225
0,"S","male",0,0,7.7958
1,"S","male",0,0,7.7958
0,"S","male",0,0,8.05
1,"C","male",0,1,8.5167
0,"C","male",1,0,6.4375
0,"C","male",0,0,6.4375
0,"C","male",0,0,7.225
1,"C","female",1,1,8.5167
0,"S","male",0,0,8.05
0,"S","male",1,0,16.1
1,"S","female",1,0,16.1
0,"S","male",0,0,7.925
0,"Q","male",0,0,7.75
0,"S","male",0,0,7.8958
0,"S","male",0,0,8.05
0,"S","male",0,0,8.05
0,"C","male",0,0,7.2292
1,"S","male",0,0,0
0,"C","male",0,0,7.2292
1,"C","male",1,1,15.2458
1,"C","female",1,1,15.2458
1,"C","female",0,2,15.2458
0,"S","male",0,0,7.8958
1,"S","female",0,0,9.8417
1,"S","female",0,0,9.5875
0,"S","male",1,1,14.5
0,"S","male",1,1,14.5
0,"S","male",0,2,14.5
0,"S","female",0,2,24.15
0,"S","male",1,1,24.15
0,"S","female",1,1,24.15
0,"S","male",0,0,9.5
0,"S","male",0,0,9.5
0,"S","male",0,0,9.5
0,"S","male",0,0,9.5
0,"S","male",0,0,9
0,"S","female",2,0,18
0,"S","male",3,0,18
0,"S","male",2,0,18
0,"S","female",1,0,18
1,"C","male",0,0,7.225
0,"S","male",0,0,7.8542
0,"S","female",0,0,7.8542
0,"S","male",0,0,7.8958
0,"S","male",0,0,9
0,"S","male",0,0,8.05
0,"S","male",0,0,7.55
0,"S","male",0,0,8.05
0,"S","male",0,0,9.5
1,"C","female",0,0,7.2292
0,"S","male",0,0,7.75
0,"S","male",1,0,6.4958
0,"S","male",1,0,6.4958
1,"S","female",1,0,7
0,"S","male",0,0,8.7125
0,"S","male",0,0,7.55
0,"S","male",0,0,8.05
0,"S","male",0,0,16.1
0,"S","male",0,0,7.25
0,"S","male",0,0,8.6625
0,"S","male",0,0,7.25
0,"S","male",0,0,9.5
0,"C","male",1,0,14.4542
1,"C","female",1,0,14.4542
0,"C","male",0,0,7.225
0,"C","male",0,0,7.225
0,"C","male",0,0,14.4583
0,"C","female",1,0,14.4542
0,"C","female",1,0,14.4542
0,"C","male",0,0,7.225
0,"C","male",0,0,7.225
0,"S","male",0,0,7.875
